name,municipality,code,coordinates
Halifax / Stanfield International Airport,Halifax,YHZ,"-63.5085983276, 44.8807983398"
Atikokan Municipal Airport,Atikokan,YIB,"-91.6386032104, 48.7738990784"
Digby / Annapolis Regional Airport,Digby,YDG,"-65.7854247093, 44.5458450365"
St Augustin Airport,St-Augustin,YIF,"-58.6582984924, 51.2117004395"
Ivujivik Airport,Ivujivik,YIK,"-77.92530059814453, 62.417301177978516"
Pond Inlet Airport,Pond Inlet,YIO,"-77.9666976929, 72.6832962036"
Island Lake Airport,Island Lake,YIV,"-94.65360260009766, 53.857200622558594"
Jasper Airport,Jasper,YJA,"-118.058998, 52.9967"
Fort Liard Airport,Fort Liard,YJF,"-123.46900177, 60.235801696799996"
St Jean Airport,St Jean,YJN,"-73.28109741210938, 45.29439926147461"
Stephenville Airport,Stephenville,YJT,"-58.54999923706055, 48.5442008972168"
Kamloops Airport,Kamloops,YKA,"-120.444000244, 50.7022018433"
Collins Bay Airport,Collins Bay,YKC,"-103.678001404, 58.236099243199995"
Aklavik/Freddie Carmichael Airport,Aklavik,LAK,"-135.00599, 68.223297"
Waterloo Airport,Kitchener,YKF,"-80.3786010742, 43.460800170899994"
Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,YWB,"-71.929397583, 61.5886001587"
Key Lake Airport,Key Lake,YKJ,"-105.61799621582031, 57.256099700927734"
Schefferville Airport,Schefferville,YKL,"-66.8052978515625, 54.805301666259766"
Kincardine Municipal Airport,Kincardine,YKD,"-81.606697, 44.201401"
Akulivik Airport,Akulivik,AKV,"-78.14859771728516, 60.818599700927734"
Waskaganish Airport,Waskaganish,YKQ,"-78.75830078125, 51.47330093383789"
Kirkland Lake Airport,Kirkland Lake,YKX,"-79.98139953613281, 48.21030044555664"
Kindersley Airport,Kindersley,YKY,"-109.180999756, 51.5175018311"
Buttonville Municipal Airport,Toronto,YKZ,"-79.37000274658203, 43.86220169067383"
Aupaluk Airport,Aupaluk,YPJ,"-69.59970092773438, 59.29669952392578"
Lac La Biche Airport,Lac La Biche,YLB,"-112.031997681, 54.7703018188"
Kimmirut Airport,Kimmirut,YLC,"-69.88330078119999, 62.8499984741"
Chapleau Airport,Chapleau,YLD,"-83.3467025756836, 47.81999969482422"
Lansdowne House Airport,Lansdowne House,YLH,"-87.93419647216797, 52.19559860229492"
Meadow Lake Airport,Meadow Lake,YLJ,"-108.52300262451172, 54.125301361083984"
Lutselk'e Airport,Lutselk'e,YSG,"-110.681998, 62.418303"
Lloydminster Airport,Lloydminster,YLL,"-110.072998046875, 53.309200286865234"
La Tuque Airport,La Tuque,YLQ,"-72.7889022827, 47.4096984863"
Leaf Rapids Airport,Leaf Rapids,YLR,"-99.98529815673828, 56.513301849365234"
Barrie-Orillia (Lake Simcoe Regional Airport),Barrie-Orillia,YLK,"-79.55560302730001, 44.4852981567"
Alert Airport,Alert,YLT,"-62.2806015015, 82.51779937740001"
Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,XGR,"-65.9927978515625, 58.71139907836914"
Kelowna International Airport,Kelowna,YLW,"-119.377998352, 49.9561004639"
Chatham Seaplane Base,Chatham,CYM,"-134.945999, 57.5149"
Mayo Airport,Mayo,YMA,"-135.8679962158203, 63.61640167236328"
Matane Airport,Matane,YME,"-67.45330047607422, 48.85689926147461"
Manitouwadge Airport,Manitouwadge,YMG,"-85.86060333251953, 49.083900451660156"
Mary's Harbour Airport,Mary's Harbour,YMH,"-55.847198486328125, 52.302799224853516"
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,YMJ,"-105.55899810791016, 50.330299377441406"
Charlevoix Airport,Charlevoix,YML,"-70.2238998413086, 47.59749984741211"
Fort McMurray Airport,Fort McMurray,YMM,"-111.222000122, 56.653301239"
Moosonee Airport,Moosonee,YMO,"-80.60780334472656, 51.291099548339844"
Chapais Airport,Chibougamau,YMT,"-74.5280990600586, 49.77190017700195"
Umiujaq Airport,Umiujaq,YUD,"-76.51830291748047, 56.53609848022461"
Maniwaki Airport,Maniwaki,YMW,"-75.9906005859, 46.2728004456"
Montreal International (Mirabel) Airport,MontrÃ©al,YMX,"-74.038696, 45.679501"
Natashquan Airport,Natashquan,YNA,"-61.78919982910156, 50.189998626708984"
Wemindji Airport,Wemindji,YNC,"-78.83110046386719, 53.01060104370117"
Ottawa / Gatineau Airport,Gatineau,YND,"-75.563599, 45.521702"
Norway House Airport,Norway House,YNE,"-97.84420013427734, 53.95830154418945"
Hudsons Hope Airport,Hudson's Hope,YNH,"-121.975997925, 56.0355987549"
Langley Airport,Langley,YLY,"-122.630996704, 49.10079956049999"
Points North Landing Airport,Points North Landing,YNL,"-104.08200073242188, 58.27669906616211"
Matagami Airport,Matagami,YNM,"-77.80280303955078, 49.76169967651367"
Fort Mackay / Horizon Airport,Fort Mackay,HZP,"-111.700996399, 57.3816986084"
Ekati Airport,Ekati,YOA,"-110.614997864, 64.6988983154"
Old Crow Airport,Old Crow,YOC,"-139.83900451660156, 67.57060241699219"
CFB Cold Lake,Cold Lake,YOD,"-110.27899932861328, 54.404998779296875"
Oxford House Airport,Oxford House,YOH,"-95.27890014648438, 54.93330001831055"
High Level Airport,High Level,YOJ,"-117.16500091552734, 58.62139892578125"
Toronto/Oshawa Executive Airport,Oshawa,YOO,"-78.894997, 43.922798"
Rainbow Lake Airport,Rainbow Lake,YOP,"-119.40799713134766, 58.49140167236328"
Owen Sound / Billy Bishop Regional Airport,Owen Sound,YOS,"-80.8375015259, 44.5903015137"
Ottawa Macdonald-Cartier International Airport,Ottawa,YOW,"-75.66919708251953, 45.3224983215332"
C J.H.L.(Joe) Lecomte) Heliport,Valcartier,YOY,"-71.502199173, 46.9021961734"
Prince Albert Glass Field,Prince Albert,YPA,"-105.672996521, 53.214199066199996"
Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,YPC,"-124.075469971, 69.3608381154"
Port Hawkesbury Airport,Port Hawkesbury,YPS,"-61.3680992126, 45.6567001343"
Peace River Airport,Peace River,YPE,"-117.446999, 56.226898"
Portage-la-Prairie / Southport Airport,Portage la Prairie,YPG,"-98.273817, 49.903099"
Inukjuak Airport,Inukjuak,YPH,"-78.07689666748047, 58.471900939941406"
Pickle Lake Airport,Pickle Lake,YPL,"-90.21420288085938, 51.4463996887207"
Pikangikum Airport,Pikangikum,YPM,"-93.97329711914062, 51.819698333740234"
Port Menier Airport,Port-Menier,YPN,"-64.2885971069336, 49.83639907836914"
Peawanuck Airport,Peawanuck,YPO,"-85.44329833984375, 54.98809814453125"
Peterborough Airport,Peterborough,YPQ,"-78.36329650878906, 44.22999954223633"
Prince Rupert Airport,Prince Rupert,YPR,"-130.445007324, 54.286098480199996"
Powell River Airport,Powell River,YPW,"-124.5, 49.83420181274414"
Puvirnituq Airport,Puvirnituq,YPX,"-77.28690338134766, 60.05059814453125"
Fort Chipewyan Airport,Fort Chipewyan,YPY,"-111.11699676513672, 58.7672004699707"
Burns Lake Airport,Burns Lake,YPZ,"-125.950996399, 54.3763999939"
Muskoka Airport,Muskoka,YQA,"-79.30329895019531, 44.974700927734375"
Quebec Jean Lesage International Airport,Quebec,YQB,"-71.393303, 46.7911"
The Pas Airport,The Pas,YQD,"-101.09100341796875, 53.97140121459961"
Red Deer Regional Airport,Red Deer,YQF,"-113.89399719238281, 52.18220138549805"
Windsor Airport,Windsor,YQG,"-82.95559692382812, 42.27560043334961"
Watson Lake Airport,Watson Lake,YQH,"-128.82200622558594, 60.11640167236328"
Yarmouth Airport,Yarmouth,YQI,"-66.08809661865234, 43.826900482177734"
Kenora Airport,Kenora,YQK,"-94.36309814453125, 49.788299560546875"
Lethbridge County Airport,Lethbridge,YQL,"-112.800003052, 49.6302986145"
Greater Moncton RomÃ©o LeBlanc International Airport,Moncton,YQM,"-64.678596, 46.112202"
Nakina Airport,Nakina,YQN,"-86.69640350341797, 50.18280029296875"
Comox Airport,Comox,YQQ,"-124.88700103759766, 49.71080017089844"
Regina International Airport,Regina,YQR,"-104.66600036621094, 50.43190002441406"
St Thomas Municipal Airport,St Thomas,YQS,"-81.11080169677734, 42.77000045776367"
Thunder Bay Airport,Thunder Bay,YQT,"-89.32389831542969, 48.37189865112305"
Grande Prairie Airport,Grande Prairie,YQU,"-118.885002136, 55.1796989441"
Yorkton Municipal Airport,Yorkton,YQV,"-102.46199798583984, 51.26470184326172"
North Battleford Airport,North Battleford,YQW,"-108.24400329589844, 52.76919937133789"
Gander International Airport,Gander,YQX,"-54.56809997558594, 48.9369010925293"
Sydney / J.A. Douglas McCurdy Airport,Sydney,YQY,"-60.047798, 46.1614"
Quesnel Airport,Quesnel,YQZ,"-122.51000213623047, 53.026100158691406"
Rae Lakes Airport,GamÃ¨tÃ¬,YRA,"-117.30999755859375, 64.11609649658203"
Resolute Bay Airport,Resolute Bay,YRB,"-94.9693984985, 74.7169036865"
RiviÃ¨re-du-Loup Airport,RiviÃ¨re-du-Loup,YRI,"-69.58470153808594, 47.764400482177734"
Roberval Airport,Roberval,YRJ,"-72.2656021118164, 48.52000045776367"
Red Lake Airport,Red Lake,YRL,"-93.79309844970703, 51.066898345947266"
Rocky Mountain House Airport,Rocky Mountain House,YRM,"-114.903999329, 52.4296989441"
Ottawa / Rockcliffe Airport,Ottawa,YRO,"-75.64610290530001, 45.4603004456"
Trois-RiviÃ¨res Airport,Trois-RiviÃ¨res,YRQ,"-72.67939758300781, 46.35279846191406"
Red Sucker Lake Airport,Red Sucker Lake,YRS,"-93.55719757080078, 54.167198181152344"
Rankin Inlet Airport,Rankin Inlet,YRT,"-92.1157989502, 62.8114013672"
Revelstoke Airport,Revelstoke,YRV,"-118.182998657, 50.9667015076"
Sudbury Airport,Sudbury,YSB,"-80.79889678955078, 46.625"
Sherbrooke Airport,Sherbrooke,YSC,"-71.69139862060547, 45.4385986328125"
Suffield Heliport,Suffield,YSD,"-111.18299865722656, 50.266700744628906"
Squamish Airport,Squamish,YSE,"-123.162002563, 49.7817001343"
Stony Rapids Airport,Stony Rapids,YSF,"-105.84100341796875, 59.250301361083984"
Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,YSH,"-75.94059753417969, 44.94580078125"
Saint John Airport,Saint John,YSJ,"-65.89029693603516, 45.31610107421875"
Sanikiluaq Airport,Sanikiluaq,YSK,"-79.2466964722, 56.5377998352"
St Leonard Airport,St Leonard,YSL,"-67.83470153808594, 47.157501220703125"
Fort Smith Airport,Fort Smith,YSM,"-111.96199798583984, 60.020301818847656"
Niagara District Airport,St Catharines,YCM,"-79.17169952392578, 43.19169998168945"
Marathon Airport,Marathon,YSP,"-86.34439849853516, 48.75529861450195"
St. Theresa Point Airport,St. Theresa Point,YST,"-94.85189819335938, 53.84560012817383"
Summerside Airport,Summerside,YSU,"-63.83359909057617, 46.44060134887695"
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,YSY,"-125.242996216, 71.9938964844"
Pembroke Airport,Pembroke,YTA,"-77.25170135498047, 45.86439895629883"
Cape Dorset Airport,Cape Dorset,YTE,"-76.5267028809, 64.2300033569"
Alma Airport,Alma,YTF,"-71.64189910889999, 48.50889968869999"
Thompson Airport,Thompson,YTH,"-97.86419677734375, 55.80110168457031"
Big Trout Lake Airport,Big Trout Lake,YTL,"-89.89689636230469, 53.81779861450195"
Tasiujaq Airport,Tasiujaq,YTQ,"-69.95580291748047, 58.66780090332031"
CFB Trenton,Trenton,YTR,"-77.5280990600586, 44.118900299072266"
Timmins/Victor M. Power,Timmins,YTS,"-81.376701355, 48.569698333699996"
Billy Bishop Toronto City Centre Airport,Toronto,YTZ,"-79.396202, 43.627499"
Tuktoyaktuk Airport,Tuktoyaktuk,YUB,"-133.0260009765625, 69.43329620361328"
Montreal / Pierre Elliott Trudeau International Airport,MontrÃ©al,YUL,"-73.7407989502, 45.4706001282"
Naujaat Airport,Repulse Bay,YUT,"-86.224701, 66.5214"
Hall Beach Airport,Hall Beach,YUX,"-81.2425, 68.77610015869999"
Rouyn Noranda Airport,Rouyn-Noranda,YUY,"-78.83560180664062, 48.20610046386719"
Bonaventure Airport,Bonaventure,YVB,"-65.46029663085938, 48.07109832763672"
La Ronge Airport,La Ronge,YVC,"-105.262001038, 55.151401519800004"
Vermilion Airport,Vermilion,YVG,"-110.823997498, 53.355800628699996"
Vernon Airport,Vernon,YVE,"-119.33100128173828, 50.24810028076172"
Tommy Kochon Airport,Colville Lake,YCK,"-126.126, 67.02"
Qikiqtarjuaq Airport,Qikiqtarjuaq,YVM,"-64.03140258789999, 67.5457992554"
Val-d'Or Airport,Val-d'Or,YVO,"-77.7827987671, 48.0532989502"
Kuujjuaq Airport,Kuujjuaq,YVP,"-68.4269027709961, 58.096099853515625"
Norman Wells Airport,Norman Wells,YVQ,"-126.7979965209961, 65.28160095214844"
Vancouver International Airport,Vancouver,YVR,"-123.183998108, 49.193901062"
Buffalo Narrows Airport,Buffalo Narrows,YVT,"-108.417999268, 55.8418998718"
Wiarton Airport,Wiarton,YVV,"-81.107201, 44.7458"
Deer Lake Airport,Deer Lake,YVZ,"-94.0614013671875, 52.655799865722656"
Petawawa Airport,Petawawa,YWA,"-77.31919860839844, 45.95220184326172"
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,YWG,"-97.2398986816, 49.909999847399995"
Victoria Harbour Seaplane Base,Victoria,YWH,"-123.388867378, 48.4249858939"
DÃ©line Airport,DÃ©line,YWJ,"-123.43599700927734, 65.21109771728516"
Wabush Airport,Wabush,YWK,"-66.8644027709961, 52.92190170288086"
Williams Lake Airport,Williams Lake,YWL,"-122.054000854, 52.1831016541"
Webequie Airport,Webequie,YWP,"-87.3748683929, 52.9593933975"
Wrigley Airport,Wrigley,YWY,"-123.43699645996094, 63.20940017700195"
Cranbrook/Canadian Rockies International Airport,Cranbrook,YXC,"-115.78199768066, 49.610801696777"
Edmonton City Centre (Blatchford Field) Airport,Edmonton,YXD,"-113.521003723, 53.5724983215"
Saskatoon John G. Diefenbaker International Airport,Saskatoon,YXE,"-106.69999694824219, 52.170799255371094"
Medicine Hat Airport,Medicine Hat,YXH,"-110.72100067138672, 50.01890182495117"
Bonnechere Airport,Killaloe,YXI,"-77.60279846191406, 45.66310119628906"
Fort St John Airport,Fort St.John,YXJ,"-120.739998, 56.238098"
Rimouski Airport,Rimouski,YXK,"-68.49690246582031, 48.47809982299805"
Sioux Lookout Airport,Sioux Lookout,YXL,"-91.9052963256836, 50.11389923095703"
Whale Cove Airport,Whale Cove,YXN,"-92.59809875490001, 62.24000167849999"
Pangnirtung Airport,Pangnirtung,YXP,"-65.71360015869999, 66.1449966431"
Beaver Creek Airport,Beaver Creek,YXQ,"-140.86700439453125, 62.410301208496094"
Earlton (Timiskaming Regional) Airport,Earlton,YXR,"-79.8473453522, 47.697400654599996"
Prince George Airport,Prince George,YXS,"-122.679000854, 53.8894004822"
Northwest Regional Airport Terrace-Kitimat,Terrace,YXT,"-128.576009, 54.468498"
London Airport,London,YXU,"-81.1539, 43.035599"
Abbotsford Airport,Abbotsford,YXX,"-122.36100006103516, 49.025299072265625"
Whitehorse / Erik Nielsen International Airport,Whitehorse,YXY,"-135.067001343, 60.7095985413"
Wawa Airport,Wawa,YXZ,"-84.78669738769531, 47.96670150756836"
North Bay Jack Garland Airport,North Bay,YYB,"-79.422798, 46.363602"
Calgary International Airport,Calgary,YYC,"-114.019996643, 51.113899231"
Smithers Airport,Smithers,YYD,"-127.18299865722656, 54.82469940185547"
Fort Nelson Airport,Fort Nelson,YYE,"-122.597000122, 58.8363990784"
Penticton Airport,Penticton,YYF,"-119.60199737548828, 49.46310043334961"
Charlottetown Airport,Charlottetown,YYG,"-63.12110137939453, 46.290000915527344"
Taloyoak Airport,Taloyoak,YYH,"-93.576698, 69.5467"
Victoria International Airport,Victoria,YYJ,"-123.426002502, 48.646900177"
Lynn Lake Airport,Lynn Lake,YYL,"-101.07599639892578, 56.86389923095703"
Cowley Airport,Cowley,YYM,"-114.09400177, 49.636398315399994"
Swift Current Airport,Swift Current,YYN,"-107.691001892, 50.291900634799994"
Churchill Airport,Churchill,YYQ,"-94.06500244140625, 58.739200592041016"
Goose Bay Airport,Goose Bay,YYR,"-60.4258003235, 53.3191986084"
St. John's International Airport,St. John's,YYT,"-52.7518997192, 47.618598938"
Kapuskasing Airport,Kapuskasing,YYU,"-82.46749877929688, 49.41389846801758"
Armstrong Airport,Armstrong,YYW,"-88.90969848632812, 50.29029846191406"
Mont Joli Airport,Mont-Joli,YYY,"-68.20809936523438, 48.60860061645508"
Lester B. Pearson International Airport,Toronto,YYZ,"-79.63059997559999, 43.6772003174"
Gore Bay Manitoulin Airport,Gore Bay,YZE,"-82.56780242919922, 45.88529968261719"
Yellowknife Airport,Yellowknife,YZF,"-114.44000244140625, 62.462799072265625"
Salluit Airport,Salluit,YZG,"-75.66719818115234, 62.17940139770508"
Slave Lake Airport,Slave Lake,YZH,"-114.777000427, 55.2930984497"
Sandspit Airport,Sandspit,YZP,"-131.813995361, 53.25429916379999"
Chris Hadfield Airport,Sarnia,YZR,"-82.30889892578125, 42.9994010925293"
Coral Harbour Airport,Coral Harbour,YZS,"-83.3593978882, 64.1932983398"
Port Hardy Airport,Port Hardy,YZT,"-127.36699676513672, 50.680599212646484"
Whitecourt Airport,Whitecourt,YZU,"-115.78700256347656, 54.14390182495117"
Sept-Ãles Airport,Sept-Ãles,YZV,"-66.2656021118164, 50.22330093383789"
Teslin Airport,Teslin,YZW,"-132.7429962158203, 60.17279815673828"
CFB Greenwood,Greenwood,YZX,"-64.91690063476562, 44.98440170288086"
York Landing Airport,York Landing,ZAC,"-96.08920288085938, 56.08940124511719"
Shuswap Regional Airport,Salmon Arm,YSN,"-119.228996, 50.682802"
Boundary Bay Airport,Vancouver,YDT,"-123.012001, 49.0742"
Ilford Airport,Ilford,ILF,"-95.613899231, 56.0614013672"
Bathurst Airport,Bathurst,ZBF,"-65.738899231, 47.629699707"
Bromont (Roland Desourdy) Airport,Bromont,ZBM,"-72.74140167239999, 45.2907981873"
Kelsey Airport,Kelsey,KES,"-96.50969696039999, 56.0374984741"
Eastmain River Airport,Eastmain River,ZEM,"-78.52249908447266, 52.22639846801758"
Faro Airport,Faro,ZFA,"-133.37600708007812, 62.20750045776367"
Fond-Du-Lac Airport,Fond-Du-Lac,ZFD,"-107.18199920654297, 59.33440017700195"
Pukatawagan Airport,Pukatawagan,XPK,"-101.26599884, 55.7491989136"
Fort Mcpherson Airport,Fort Mcpherson,ZFM,"-134.86099243164062, 67.40750122070312"
Tulita Airport,Tulita,ZFN,"-125.572998, 64.909697"
Grand Forks Airport,Grand Forks,ZGF,"-118.43099975585938, 49.01559829711914"
Gods River Airport,Gods River,ZGI,"-94.07859802246094, 54.839698791503906"
Little Grand Rapids Airport,Little Grand Rapids,ZGR,"-95.4657974243164, 52.04560089111328"
High Prairie Airport,High Prairie,ZHP,"-116.474998474, 55.3936004639"
CorazÃ³n de JesÃºs Airport,CorazÃ³n de JesÃºs and NarganÃ¡ Islands,CZJ,"-78.5888, 9.4446"
Jenpeg Airport,Jenpeg,ZJG,"-98.04609680175781, 54.51890182495117"
Swan River Airport,Swan River,ZJN,"-101.23600006103516, 52.120601654052734"
Cascade Locks State Airport,Cascade Locks,CZK,"-121.878997803, 45.6768989563"
Kashechewan Airport,Kashechewan,ZKE,"-81.67780303955078, 52.282501220703125"
Thicket Portage Airport,Thicket Portage,YTD,"-97.70780181884766, 55.31890106201172"
Muskrat Dam Airport,Muskrat Dam,MSA,"-91.76280212402344, 53.44139862060547"
South Cariboo Region / 108 Mile Airport,108 Mile,ZMH,"-121.333000183, 51.736099243199995"
Pikwitonei Airport,Pikwitonei,PIW,"-97.16419982910156, 55.58890151977539"
Masset Airport,Masset,ZMT,"-132.125, 54.02750015258789"
Chisana Airport,Chisana,CZN,"-142.04800415, 62.0712013245"
Poplar River Airport,Poplar River,XPP,"-97.2741937637, 52.9965258788"
Chistochina Airport,Chistochina,CZO,"-144.669006348, 62.5634994507"
Sachigo Lake Airport,Sachigo Lake,ZPB,"-92.19640350341797, 53.8911018371582"
Pincher Creek Airport,Pincher Creek,WPC,"-113.997001648, 49.520599365200006"
Pinehouse Lake Airport,Pinehouse Lake,ZPO,"-106.582000732, 55.5280990601"
Round Lake (Weagamow Lake) Airport,Round Lake,ZRJ,"-91.31279754638672, 52.943599700927734"
Sandy Lake Airport,Sandy Lake,ZSJ,"-93.34439849853516, 53.06420135498047"
South Indian Lake Airport,South Indian Lake,XSI,"-98.9072036743, 56.7928009033"
Stewart Airport,Stewart,ZST,"-129.982434511, 55.935410448"
Prince Rupert/Seal Cove Seaplane Base,,ZSW,"-130.2830047607422, 54.33330154418945"
Bloodvein River Airport,Bloodvein River,YDV,"-96.692305, 51.784568"
Shamattawa Airport,Shamattawa,ZTM,"-92.0813980102539, 55.8656005859375"
Ignace Municipal Airport,Ignace,ZUC,"-91.7177963256836, 49.4296989440918"
Churchill Falls Airport,Churchill Falls,ZUM,"-64.10639953613281, 53.5619010925293"
Lac Brochet Airport,Lac Brochet,XLB,"-101.46900177, 58.6175003052"
Wollaston Lake Airport,Wollaston Lake,ZWL,"-103.1719970703125, 58.10689926147461"
Canandaigua Airport,Ontario County IDA,IUA,"-77.325226, 42.908902"
Delta Junction Airport,Delta Junction,DJN,"-145.716995239, 64.0503997803"
Mostaganem Airport,,MQV,"0.149382993579, 35.9087982178"
Blida Airport,,QLD,"2.8141698837280273, 36.50360107421875"
Bou Saada Airport,,BUJ,"4.206389904022217, 35.33250045776367"
Soummam Airport,BÃ©jaÃ¯a,BJA,"5.0699200630200005, 36.7120018005"
Houari Boumediene Airport,Algiers,ALG,"3.215409994125366, 36.691001892089844"
Djanet Inedbirene Airport,Djanet,DJG,"9.45244, 24.292801"
Illizi Takhamalt Airport,Illizi,VVZ,"8.62265014648, 26.7234992981"
Ain Arnat Airport,SÃ©tif,QSF,"5.3244900703399995, 36.178100585900005"
Aguenar â Hadj Bey Akhamok Airport,Tamanrasset,TMR,"5.45107984543, 22.8115005493"
Jijel Ferhat Abbas Airport,Jijel,GJL,"5.87361001968, 36.7951011658"
Mecheria Airport,Mecheria,MZW,"-0.242353007197, 33.535900116"
Rabah Bitat Airport,Annaba,AAE,"7.809174, 36.822201"
Mohamed Boudiaf International Airport,Constantine,CZL,"6.620389938354492, 36.2760009765625"
Oum el Bouaghi airport,Oum El Bouaghi,QMH,"7.270800113679999, 35.879699707"
Skikda Airport,Skikda,SKI,"6.9516, 36.8641"
Cheikh Larbi TÃ©bessi Airport,TÃ©bessi,TEE,"8.12071990967, 35.4315986633"
Batna Airport,Batna,BLJ,"6.308589935300001, 35.752101898199996"
Daup Airport,,DAF,"145.9515, -4.7403"
Hassi R'Mel Airport,,HRM,"3.311539888381958, 32.93040084838867"
Tsletsi Airport,Djelfa,QDJ,"3.351, 34.6657"
Dabo Airport,,DAO,"147.843055556, -8.431944444440001"
Bou Chekif Airport,Tiaret,TID,"1.46315002441, 35.3410987854"
Tindouf Airport,Tindouf,TIN,"-8.167099952700001, 27.7003993988"
Ech Cheliff Airport,,CFK,"1.33176994324, 36.2126998901"
Tafaraoui Airport,,TAF,"-0.5322780013084412, 35.54240036010742"
Zenata â Messali El Hadj Airport,Tlemcen,TLM,"-1.45000004768, 35.0167007446"
Es Senia Airport,Oran,ORN,"-0.6211829781529999, 35.6239013672"
BÃ©char Boudghene Ben Ali Lotfi Airport,BÃ©char,CBH,"-2.269860029220581, 31.645700454711914"
Sidi Bel Abbes Airport,Sidi Bel AbbÃ¨s,BFW,"-0.593275010586, 35.1717987061"
Ghriss Airport,,MUW,"0.14714199304580688, 35.207698822021484"
El Bayadh Airport,El Bayadh,EBH,"1.0925, 33.721666666699996"
In Guezzam Airport,In Guezzam,INF,"5.75, 19.566999435424805"
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,BMW,"0.923888981342, 21.375"
Touat Cheikh Sidi Mohamed Belkebir Airport,,AZR,"-0.18641400337219238, 27.837600708007812"
Biskra Airport,Biskra,BSK,"5.73823022842, 34.793300628699996"
El Golea Airport,,ELG,"2.8595900535583496, 30.571300506591797"
NoumÃ©rat - Moufdi Zakaria Airport,GhardaÃ¯a,GHA,"3.794110059738159, 32.38410186767578"
Oued Irara Airport,Hassi Messaoud,HME,"6.140439987180001, 31.673000335699996"
In Salah Airport,In Salah,INZ,"2.51202011108, 27.250999450699997"
Touggourt Sidi Madhi Airport,Touggourt,TGR,"6.088669776916504, 33.06779861450195"
Laghouat Airport,Laghouat,LOO,"2.92833995819, 33.764400482199996"
Guemar Airport,Guemar,ELU,"6.77679014206, 33.5113983154"
Timimoun Airport,Timimoun,TMX,"0.276033014059, 29.2371006012"
Ain el Beida Airport,Ouargla,OGX,"5.412779808044434, 31.917200088500977"
In AmÃ©nas Airport,AmÃ©nas,IAM,"9.64291, 28.0515"
Cadjehoun Airport,Cotonou,COO,"2.384350061416626, 6.357230186462402"
Djougou Airport,Djougou,DJA,"1.63777777778, 9.69208333333"
Kandi Airport,Kandi,KDC,"2.940381, 11.14479"
Natitingou Airport,Natitingou,NAE,"1.360507, 10.376965"
Parakou Airport,Parakou,PKO,"2.609679937362671, 9.35768985748291"
SavÃ© Airport,SavÃ©,SVF,"2.4645800590515137, 8.018170356750488"
Baicheng Chang'an Airport,Baicheng,DBC,"123.019722, 45.505278"
Dutch Bay SPB,Kalpitiya Island,DBK,"79.756, 8.273"
Debepare Airport,Debepare,DBP,"141.905555556, -6.30861111111"
Dambulu Oya Tank Seaplane Base,Dambulla,DBU,"80.6304, 7.8604"
Dubai Creek SPB,Dubai,DCG,"55.3313888889, 25.2422222222"
Dahl Creek Airport,Dahl Creek,DCK,"-156.904998779, 66.9432983398"
Decatur HI-Way Airfield,Decatur,DCR,"-84.862464, 40.837548"
Dodoima Airport,,DDM,"147.809444444, -8.17736111111"
Heidelberg Army Helicopter Base,Heidelberg,HDB,"8.651935, 49.392397"
BÃ¶blingen Flugfeld,BÃ¶blingen,PHM,"8.996193, 48.689544"
BÃ¶blingen Flugfeld,BÃ¶blingen,PHM,"8.996193, 48.689544"
Derim Airport,Derim,DER,"147.107222222, -6.14472222222"
Nop Goliat Airport,Dekai - Yahukimo,DEX,"139.482006, -4.8557"
Kaya Airport,Kaya,XKY,"-1.100000023841858, 13.067000389099121"
Ouahigouya Airport,Ouahigouya,OUG,"-2.4170000553131104, 13.567000389099121"
Djibo Airport,Djibo,XDJ,"-1.6330000162124634, 14.100000381469727"
Leo Airport,Leo,XLU,"-2.0999999046325684, 11.100000381469727"
Po Airport,Po,PUP,"-1.149999976158142, 11.149999618530273"
Boulsa Airport,Boulsa,XBO,"-0.5669999718666077, 12.649999618530273"
Bogande Airport,Bogande,XBG,"-0.16699999570846558, 12.982999801635742"
Diapaga Airport,Diapaga,DIP,"1.784631, 12.060324"
Dori Airport,Dori,DOR,"-0.032999999821186066, 14.032999992370605"
Fada N'gourma Airport,Fada N'gourma,FNG,"0.3499999940395355, 12.032999992370605"
Gorom-Gorom Airport,Gorom-Gorom,XGG,"-0.2329999953508377, 14.449999809265137"
Kantchari Airport,Kantchari,XKA,"1.5, 12.467000007629395"
Tambao Airport,Tambao,TMQ,"0.05000000074505806, 14.800000190734863"
Pama Airport,Pama,XPA,"0.699999988079071, 11.25"
Arly Airport,Arly,ARL,"1.4830000400543213, 11.597000122070312"
Sebba Airport,Sebba,XSE,"0.5170000195503235, 13.449999809265137"
Tenkodogo Airport,Tenkodogo,TEG,"-0.367000013589859, 11.800000190734863"
ZabrÃ© Airport,ZabrÃ©,XZA,"-0.6169999837875366, 11.166999816894531"
Ouagadougou Airport,Ouagadougou,OUA,"-1.51242, 12.3532"
